               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10945,            0.017248,            0.080397,           0.0051195,                0.15,           0.0047235,          0.00076783,            0.072173,           0.0099797,            0.048953,              0.0991,              0.0001,              0.0001
                   1,             0.11336,            0.012157,            0.076116,           0.0054348,                0.15,           0.0050455,          0.00083019,             0.07156,            0.010112,            0.049019,            0.097299,          0.00029941,          0.00029941
                   2,             0.10566,            0.015392,             0.07601,           0.0067155,                 0.2,           0.0061087,           0.0011434,            0.070049,             0.01042,            0.048971,            0.095498,          0.00049802,          0.00049802
                   3,             0.10621,            0.020367,            0.073873,           0.0066201,                 0.2,           0.0048737,          0.00095376,            0.068378,            0.010777,            0.048769,            0.093696,          0.00069584,          0.00069584
                   4,             0.10043,            0.017308,            0.071498,           0.0045078,                0.15,           0.0035778,          0.00079081,            0.065759,            0.011332,            0.048298,            0.091893,          0.00089287,          0.00089287
                   5,              0.1002,            0.019715,            0.068671,           0.0026677,                 0.1,           0.0019773,          0.00034489,            0.062836,            0.011958,            0.047746,            0.090089,           0.0010891,           0.0010891
                   6,            0.094808,            0.023641,            0.068341,           0.0066481,                0.25,            0.005994,          0.00074363,            0.059571,             0.01263,            0.047074,            0.088285,           0.0012846,           0.0012846
                   7,            0.090433,            0.022734,            0.067155,           0.0089405,                 0.4,           0.0073112,           0.0010423,             0.05637,            0.013276,            0.046359,            0.086479,           0.0014792,           0.0014792
                   8,            0.091309,            0.019569,            0.066561,            0.011179,                0.55,            0.012786,           0.0013256,             0.05496,            0.013571,            0.045678,            0.084673,           0.0016731,           0.0016731
                   9,            0.080748,             0.01924,            0.063115,             0.52771,                0.05,            0.016072,           0.0020297,            0.052781,            0.014044,            0.045172,            0.082866,           0.0018661,           0.0018661
                  10,             0.07982,            0.029079,            0.059893,              0.5196,                0.05,             0.01642,            0.002279,            0.051333,            0.014312,            0.044356,            0.081058,           0.0020584,           0.0020584
                  11,            0.074829,            0.018399,            0.066866,             0.51754,                0.05,            0.013959,            0.002295,            0.050064,            0.014552,            0.043313,             0.07925,           0.0022499,           0.0022499
                  12,            0.080737,            0.023971,             0.05757,            0.010408,                 0.9,            0.037924,            0.012437,            0.046437,            0.014568,            0.038713,            0.077441,           0.0024406,           0.0024406
                  13,            0.074282,            0.022645,            0.054601,            0.010923,                   1,            0.060599,            0.015044,             0.04594,            0.014324,            0.036922,            0.075631,           0.0026305,           0.0026305
                  14,            0.076008,            0.023322,            0.054445,            0.010342,                   1,            0.087741,            0.019852,             0.04822,            0.013471,            0.034733,             0.07382,           0.0028196,           0.0028196
                  15,            0.066858,            0.023972,            0.051196,            0.010004,                   1,             0.14035,            0.049179,            0.047739,            0.013053,            0.032722,            0.072008,           0.0030079,           0.0030079
                  16,            0.071614,            0.032052,             0.04868,            0.031591,                   1,             0.16883,            0.054904,            0.048274,            0.012561,            0.031076,            0.070195,           0.0031955,           0.0031955
                  17,            0.064917,            0.020088,            0.045051,             0.10168,                 0.7,             0.14176,             0.05941,            0.046102,            0.012611,            0.029103,            0.068382,           0.0033822,           0.0033822
                  18,            0.075859,            0.025583,            0.045738,            0.044055,                 0.7,            0.054867,            0.012874,            0.059283,            0.011102,            0.027292,            0.066568,           0.0035681,           0.0035681
                  19,            0.071604,            0.021031,            0.043662,             0.11126,                 0.8,             0.15442,            0.053484,            0.044497,             0.01275,            0.026188,            0.064753,           0.0037533,           0.0037533
                  20,            0.071519,            0.022661,            0.041544,            0.038824,                 0.6,            0.051796,            0.020634,            0.056319,              0.0116,            0.025282,            0.062938,           0.0039376,           0.0039376
                  21,            0.069255,            0.015764,             0.03974,             0.17395,                0.75,             0.24225,            0.083779,             0.04512,            0.012517,            0.024645,            0.061121,           0.0041212,           0.0041212
                  22,             0.06964,            0.021932,            0.038408,            0.075677,                 0.8,            0.096266,            0.026746,            0.058277,            0.011422,            0.024392,            0.059304,            0.004304,            0.004304
                  23,            0.076693,            0.022211,            0.037413,            0.058281,                0.85,            0.068545,             0.01923,            0.054397,            0.011599,            0.024555,            0.057486,            0.004486,            0.004486
                  24,            0.069299,            0.019823,            0.036157,             0.19243,             0.68846,             0.28114,            0.070919,            0.044914,            0.012361,            0.024621,            0.055667,           0.0046672,           0.0046672
                  25,             0.07251,            0.014824,            0.035741,             0.22068,             0.67534,             0.25949,            0.097712,            0.056777,            0.011418,            0.025128,            0.053848,           0.0048475,           0.0048475
                  26,            0.072736,            0.019223,              0.0381,             0.17999,                0.75,             0.23371,            0.045565,            0.045409,            0.011997,            0.025172,            0.052027,           0.0050272,           0.0050272
                  27,            0.060846,            0.014481,            0.029676,             0.17999,                0.75,             0.23371,            0.045565,            0.045409,            0.011997,            0.025172,            0.050206,            0.005206,            0.005206
                  28,            0.078457,            0.014153,            0.033573,             0.39976,                 0.7,             0.42031,              0.1181,            0.050841,            0.011452,            0.026188,            0.048384,            0.005384,            0.005384
                  29,             0.07214,            0.015031,            0.035808,             0.45628,             0.86188,             0.55534,             0.20213,            0.051586,            0.011586,            0.025775,            0.046561,           0.0055612,           0.0055612
                  30,            0.071618,            0.022146,             0.03402,             0.45628,             0.86188,             0.55534,             0.20213,            0.051586,            0.011586,            0.025775,            0.044738,           0.0057377,           0.0057377
                  31,            0.068252,            0.019001,              0.0329,             0.40118,                0.85,              0.4985,             0.27786,            0.047948,            0.011654,            0.026301,            0.042913,           0.0059133,           0.0059133
                  32,            0.069507,            0.017643,            0.035241,             0.44783,                 0.8,             0.52168,             0.19004,            0.063257,             0.01087,            0.026363,            0.041088,           0.0060882,           0.0060882
                  33,            0.076465,            0.014526,             0.03234,             0.44783,                 0.8,             0.52168,             0.19004,            0.063257,             0.01087,            0.026363,            0.039262,           0.0062622,           0.0062622
                  34,            0.070383,            0.015833,            0.033741,             0.28011,                 0.9,             0.31246,            0.082441,            0.045301,            0.011233,            0.025949,            0.037435,           0.0064355,           0.0064355
                  35,            0.067157,            0.016066,            0.035915,             0.21668,                0.45,             0.27583,            0.051295,            0.063267,            0.010555,            0.025331,            0.035608,            0.006608,            0.006608
                  36,            0.077407,            0.013655,            0.034772,             0.21668,                0.45,             0.27583,            0.051295,            0.063267,            0.010555,            0.025331,             0.03378,           0.0067797,           0.0067797
                  37,            0.071915,             0.01592,            0.035245,             0.43035,                0.85,              0.5011,             0.11491,              0.0515,            0.010047,            0.024366,            0.031951,           0.0069505,           0.0069505
                  38,            0.062257,            0.016547,            0.033871,             0.29628,                0.75,             0.37755,             0.11542,            0.055517,           0.0097548,            0.023332,            0.030121,           0.0071207,           0.0071207
                  39,            0.074541,            0.015092,            0.033294,             0.29628,                0.75,             0.37755,             0.11542,            0.055517,           0.0097548,            0.023332,             0.02829,             0.00729,             0.00729
                  40,            0.067999,            0.012687,            0.032807,              0.1927,                0.85,             0.29069,            0.069383,            0.050621,           0.0092168,            0.022691,            0.026458,           0.0074585,           0.0074585
                  41,            0.069081,            0.018641,            0.034106,             0.28877,                 0.8,              0.3963,             0.21466,            0.047079,           0.0093188,            0.022257,            0.024626,           0.0076262,           0.0076262
